BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/15/2017,AP,E0495668,SMITH CALEB,2/21/2017,2/23/2017,MEALS,100.74,2017,SMITH CALEB
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,TRAVEL,1/24/2017,AP,900851,STRONG ASHLEE A,4/26/2016,4/26/2016,MEALS,3.69,2016,STRONG ASHLEE A
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,TRAVEL,1/24/2017,AP,900984,STRONG ASHLEE A,2/21/2016,2/23/2016,MEALS,17.97,2016,STRONG ASHLEE A
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/3/2017,AP,E0484051,GRIFFIN TAYLOR T.,1/5/2017,1/9/2017,MEALS,118.09,2017,GRIFFIN TAYLOR T.
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/3/2017,AP,E0484058,PRIMUS WENDELL E.,1/9/2017,1/9/2017,MEALS,8.25,2017,PRIMUS WENDELL E.
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/10/2017,AP,E0485809,HAMMILL ANDREW T.,1/31/2017,2/1/2017,MEALS,77.75,2017,HAMMILL ANDREW T.
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/16/2017,AP,E0488390,CITIBANK GOV CARD SERVICE,1/24/2017,1/24/2017,MEALS,41.73,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/16/2017,AP,E0488390,CITIBANK GOV CARD SERVICE,1/25/2017,1/25/2017,MEALS,9.1,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/16/2017,AP,E0488390,CITIBANK GOV CARD SERVICE,1/26/2017,1/26/2017,MEALS,6.18,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/17/2017,AP,E0488392,CITIBANK GOV CARD SERVICE,1/26/2017,1/26/2017,MEALS,17.97,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/4/2017,AP,E0494013,CITIBANK GOV CARD SERVICE,1/26/2017,2/1/2017,MEALS,47.71,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/7/2017,AP,E0493228,CITIBANK GOV CARD SERVICE,1/16/2017,1/16/2017,MEALS,21.25,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/7/2017,AP,E0493228,CITIBANK GOV CARD SERVICE,1/25/2017,1/25/2017,MEALS,12.14,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/7/2017,AP,E0493228,CITIBANK GOV CARD SERVICE,1/26/2017,1/26/2017,MEALS,3.04,2017,CITIBANK GOV CARD SERVICE
